Run Id,Source,Key,Distance,Duration (ms),Duration,Speed,HR Average,HR Max,HR Min,Start Date,Start Date (utc),Created Date (utc),Updated Date (utc),Is Deleted,Is Manual Edit,Elevation Gained,Elevation Lost,Hill Difficulty,SPI,Description,Tags
18353689,GarminPush,46742|2019-12-29T09:50:25,8.62316,3059349,50:59,10.1470528534012,162,175,88,29/12/19 10:50,29/12/19 9:50,29/12/19 11:46,29/12/19 11:46,False,False,46,51,2,468,"un peu froid, légère douleur 1/10 au TA droit dans le dernier k",
18322910,GarminPush,46742|2019-12-26T09:39:54,8.59879,3141178,52:21,9.85478823549636,163,176,109,26/12/19 10:40,26/12/19 9:40,26/12/19 11:13,26/12/19 11:13,False,False,35,42,2,450,"cardio elevé, allure lente. gène TA droit tout du long.",
18294312,GarminPush,46742|2019-12-23T09:37:32,7.54034,2736415,45:36,9.91999532234694,160,176,97,23/12/19 10:38,23/12/19 9:38,23/12/19 22:24,23/12/19 22:24,False,False,27,31,2,447,quasiment aucune douleur sauf un peu après au pied droit,
18251234,GarminPush,46742|2019-12-17T10:51:50,11.26541,3814705,1:03:34,10.6313531452629,158,173,89,17/12/19 11:52,17/12/19 10:52,17/12/19 19:14,17/12/19 19:14,False,False,28,26,2,512,trop vite encore. Bonnes douleurs tendon d'achille avant et surtout apres.,
18233603,GarminPush,46742|2019-12-15T08:04:43,13.0878,4219981,1:10:19,11.1649981362475,167,186,134,15/12/19 9:05,15/12/19 8:05,17/12/19 19:14,17/12/19 19:14,False,False,32,45,2,554,bonne sortie boueuse,
18206585,GarminPush,46742|2019-12-11T10:52:52,10.36811,3706853,1:01:46,10.0692409437331,157,177,87,11/12/19 11:53,11/12/19 10:53,11/12/19 17:31,11/12/19 17:31,False,False,31,29,2,473,"reprise en douceur, sans forcer du tout, legère douleur au TA gauche en fin de sortie et après aussi.",
17875847,GarminPush,46742|2019-11-20T10:56:43,13.11912,4237672,1:10:37,11.1449947046397,148,166,79,20/11/19 11:57,20/11/19 10:57,29/12/19 11:49,29/12/19 11:49,False,False,94,53,2,553,"chute, bobo cote coté droit",
17847411,GarminPush,46742|2019-11-17T09:01:27,21.35549,5957005,1:39:17,12.9057746300364,169,182,86,17/11/19 10:01,17/11/19 9:01,17/11/19 16:26,17/11/19 16:26,False,False,239,239,2,691,,Race
17823410,GarminPush,46742|2019-11-14T10:55:43,11.73971,3695942,1:01:35,11.4349619122811,155,171,115,14/11/19 11:56,14/11/19 10:56,14/11/19 12:02,14/11/19 12:02,False,False,60,57,2,563,,
17806324,GarminPush,46742|2019-11-12T04:50:39,8.65193,3474319,57:54,8.9649073674582,136,160,71,12/11/19 5:51,12/11/19 4:51,12/11/19 5:51,12/11/19 5:51,False,False,29,30,2,397,,
17788811,GarminPush,46742|2019-11-10T09:09:03,8.39584,3031425,50:31,9.97056631782083,147,174,88,10/11/19 10:09,10/11/19 9:09,10/11/19 16:03,10/11/19 16:03,False,False,34,43,2,456,,
17781063,GarminPush,46742|2019-11-09T11:28:13,16.52183,5105655,1:25:05,11.6495509391058,165,187,93,9/11/19 12:28,9/11/19 11:28,9/11/19 12:58,9/11/19 12:58,False,False,81,77,2,597,,
17766808,GarminPush,46742|2019-11-07T11:08:10,14.22214,4409347,1:13:29,11.6116295678249,163,182,70,7/11/19 12:08,7/11/19 11:08,7/11/19 12:31,7/11/19 12:31,False,False,49,59,2,586,,
17750741,GarminPush,46742|2019-11-05T11:02:47,12.04542,3895946,1:04:55,11.1304191587871,154,179,98,5/11/19 12:03,5/11/19 11:03,5/11/19 12:10,5/11/19 12:10,False,False,41,44,2,546,,
17729502,GarminPush,46742|2019-11-03T15:22:48,13.50891,4509604,1:15:09,10.7841123078656,150,170,90,3/11/19 16:23,3/11/19 15:23,3/11/19 16:42,3/11/19 16:42,False,False,37,48,2,532,,
17712666,GarminPush,46742|2019-11-01T11:16:43,23.10385,7518802,2:05:18,11.0621160126307,154,189,84,1/11/19 12:17,1/11/19 11:17,1/11/19 13:56,1/11/19 13:56,False,False,132,114,2,579,douleur talon  droit. pause tel 8mins,
17691915,GarminPush,46742|2019-10-30T10:56:07,14.38028,4465096,1:14:25,11.5941534067801,157,173,72,30/10/19 11:56,30/10/19 10:56,30/10/19 12:15,30/10/19 12:15,False,False,60,59,2,585,,
